Enrollment No,Seat No,College Code
20231105040601,DET1W23001908,MHV
20231105040602,DET1W23001909,MHV
20231105040603,DET1W23001910,MHV
20231105040604,DET1W23001911,MHV
20231105040605,DET1W23001912,MHV
20231105040606,DET1W23001913,MHV
20231105040607,DET1W23001914,MHV
20231105040608,DET1W23001915,MHV
20231105040610,DET1W23001917,MHV
20231105040611,DET1W23001918,MHV
20231105040612,DET1W23001919,MHV
20231105040613,DET1W23001920,MHV
20231105040614,DET1W23001921,MHV
20231105040615,DET1W23001922,MHV
20231105040616,DET1W23001923,MHV
20231105040617,DET1W23001924,MHV
20231105060601,DET1W23001699,MHV
20231105060602,DET1W23001700,MHV
20231105060603,DET1W23001701,MHV
20231105060604,DET1W23001702,MHV
20231105060605,DET1W23001703,MHV
20231105060606,DET1W23001704,MHV
20231105060607,DET1W23001705,MHV
20231105060608,DET1W23001706,MHV
20231105060609,DET1W23001707,MHV
20231105060610,DET1W23001708,MHV
