Sr. No.,Enrollnment No.,semester,Subject-1,Subject-2,Subject-3,Subject-4,Subject-5,Subject-6,Subject-7
1,20230508040001,1,A2021,B2021,C2021,,E2021,F2021,
2,20230508040002,1,A2021,B2022,C2022,D2022,E2022,F2022,
3,20230508040003,1,A2021,B2023,C2023,D2023,E2023,F2023,
4,20230508040004,1,A2021,B2024,C2024,D2024,E2024,F2024,
5,20230508040005,1,A2021,B2025,C2025,D2025,E2025,F2025,G2021
6,20230508040006,1,A2021,B2026,C2026,D2026,E2021,F2026,
7,20230508040007,1,A2022,B2027,C2027,D2027,E2022,F2027,
8,20230508040008,1,A2023,B2028,C2028,D2028,E2023,F2028,
9,20230508030002,1,A2024,B2029,C2029,D2029,,,
10,20230508030003,1,A2025,B2030,C2030,D2030,,,
